,v1,v2,v3,v4,y
521,2,11,2750,41,0
57,2,7,1750,28,0
215,4,1,250,4,0
148,2,2,500,11,0
501,6,22,5500,28,0
84,2,6,1500,28,0
712,14,2,500,35,0
225,4,1,250,4,0
335,16,3,750,21,0
539,2,2,500,4,0
110,4,5,1250,23,0
119,2,11,2750,79,0
100,4,8,2000,34,0
89,2,7,1750,35,0
74,2,2,500,4,0
432,16,7,1750,87,0
253,11,3,750,16,0
667,11,1,250,11,0
571,4,2,500,9,1
58,2,16,4000,81,1
458,21,1,250,21,1
156,2,1,250,2,1
743,23,2,500,38,1
198,11,7,1750,29,1
682,11,2,500,25,1
700,16,3,750,35,1
60,2,7,1750,29,1
175,11,10,2500,35,1
619,4,1,250,4,1
309,16,3,750,19,1
696,14,3,750,35,1
693,14,1,250,14,1
371,14,3,750,31,1
245,4,5,1250,46,1
203,4,7,1750,58,1
300,14,2,500,14,1
491,21,3,750,70,1
577,9,9,2250,38,1
480,23,1,250,23,1
25,4,14,3500,40,1
705,16,1,250,16,1
699,21,2,500,21,1
672,16,15,3750,87,1
414,16,1,250,16,1
685,21,7,1750,38,1
585,2,1,250,2,1
621,4,1,250,4,1
635,11,16,4000,89,1
134,2,11,2750,88,1
208,11,6,1500,27,1
470,23,5,1250,58,1
146,6,3,750,14,1
352,11,5,1250,50,1
447,23,2,500,26,1
670,2,3,750,77,1
417,16,1,250,16,1
419,16,2,500,26,1
291,16,12,3000,50,1
82,2,4,1000,16,1
269,13,4,1000,21,1
204,11,9,2250,38,1
104,2,5,1250,26,1
373,9,4,1000,65,1
384,14,1,250,14,1
630,8,9,2250,64,1
459,21,1,250,21,1
418,16,1,250,16,1
473,14,3,750,83,1
653,4,2,500,30,1
49,2,2,500,2,1
278,14,18,4500,78,1
259,12,12,3000,58,1
642,11,6,1500,41,1
241,11,22,5500,98,1
390,11,4,1000,58,1
