,v1,v2,v3,v4,y
23,2,6,1500,16,0
98,4,4,1000,14,0
593,9,11,2750,49,0
14,2,6,1500,15,0
321,9,5,1250,51,0
708,11,2,500,38,0
504,0,26,6500,76,0
552,4,6,1500,28,0
568,4,6,1500,35,0
680,20,14,3500,69,0
231,4,1,250,4,0
22,2,6,1500,16,0
56,4,8,2000,26,0
622,4,4,1000,34,0
35,2,8,2000,28,0
506,3,21,5250,42,0
42,2,5,1250,16,0
332,16,6,1500,35,0
97,4,9,2250,38,0
150,2,7,1750,58,0
530,4,5,1250,16,0
562,4,16,4000,98,0
27,4,12,3000,34,0
116,2,7,1750,46,0
20,2,3,750,4,0
153,2,1,250,2,0
129,2,2,500,10,0
101,2,13,3250,76,0
252,11,8,2000,41,0
3,2,20,5000,45,0
37,4,6,1500,16,0
644,14,2,500,14,0
624,13,3,750,14,0
536,2,7,1750,32,0
122,2,6,1500,41,0
510,4,4,1000,4,0
9,5,46,11500,98,0
61,2,8,2000,35,0
365,14,2,500,21,0
40,2,13,3250,53,0
369,16,5,1250,40,0
113,4,8,2000,40,0
33,4,9,2250,26,0
44,4,20,5000,69,0
221,4,1,250,4,0
543,4,2,500,4,0
462,21,1,250,21,0
519,4,10,2500,28,0
195,2,5,1250,47,0
16,2,14,3500,48,0
509,2,13,3250,32,0
39,4,7,1750,22,0
1,0,13,3250,28,0
289,14,3,750,19,0
224,4,1,250,4,0
576,3,4,1000,29,0
695,17,7,1750,58,0
518,3,10,2500,33,0
0,2,50,12500,98,0
8,2,9,2250,22,0
164,2,1,250,2,0
6,2,7,1750,14,0
551,2,6,1500,35,0
572,2,2,500,11,0
523,1,10,2500,43,0
468,22,1,250,22,0
36,2,12,3000,47,0
517,4,33,8250,98,0
669,2,3,750,75,0
19,2,3,750,4,0
370,4,2,500,51,0
520,2,11,2750,40,0
581,2,1,250,2,0
514,4,16,4000,38,0
287,9,2,500,16,0
281,14,4,1000,22,0
80,4,6,1500,23,0
323,14,8,2000,50,0
222,4,1,250,4,0
66,2,4,1000,14,0
38,2,14,3500,57,0
242,4,3,750,25,0
12,2,10,2500,28,0
126,4,8,2000,46,0
502,2,34,8500,77,0
240,8,8,2000,52,0
99,5,7,1750,26,0
560,4,11,2750,64,0
128,4,8,2000,48,0
265,4,4,1000,43,0
189,4,5,1250,35,0
586,2,1,250,2,0
202,6,2,500,11,0
529,2,6,1500,22,0
121,4,5,1250,26,0
64,2,3,750,9,0
180,4,4,1000,26,0
396,21,2,500,21,0
18,2,6,1500,15,0
535,4,5,1250,16,0
75,2,2,500,4,0
32,4,10,2500,28,0
90,4,2,500,4,0
399,21,3,750,26,0
542,4,16,4000,70,0
338,11,1,250,11,0
612,4,1,250,4,0
288,14,5,1250,28,0
123,2,5,1250,33,0
196,9,8,2000,38,0
526,2,5,1250,16,0
333,11,7,1750,62,0
243,11,17,4250,79,0
640,11,8,2000,52,0
177,4,5,1250,33,0
508,2,21,5250,52,0
537,2,6,1500,26,0
596,3,1,250,3,0
538,2,8,2000,38,0
144,4,2,500,9,0
120,2,3,750,16,0
63,4,5,1250,16,0
28,4,5,1250,11,0
176,11,4,1000,16,0
263,2,3,750,38,0
618,4,1,250,4,0
575,4,6,1500,38,0
305,11,5,1250,37,0
549,4,7,1750,32,0
55,4,19,4750,69,0
51,2,11,2750,46,0
516,3,5,1250,12,0
290,14,4,1000,23,0
31,4,10,2500,28,0
500,2,43,10750,86,0
475,26,5,1250,49,0
72,4,17,4250,71,0
375,11,3,750,40,0
548,2,12,3000,70,0
574,2,2,500,11,0
522,4,13,3250,39,0
531,2,4,1000,14,0
337,11,7,1750,64,1
11,0,3,750,4,1
324,16,7,1750,38,1
557,4,6,1500,30,1
391,11,4,1000,59,1
267,11,8,2000,46,1
388,9,3,750,52,1
632,6,3,750,26,1
714,16,4,1000,58,1
251,2,6,1500,75,1
615,4,1,250,4,1
513,3,14,3500,35,1
553,2,3,750,14,1
661,16,2,500,16,1
555,4,4,1000,18,1
193,11,11,2750,42,1
262,2,2,500,23,1
168,2,1,250,2,1
403,16,3,750,34,1
736,23,1,250,23,1
411,16,1,250,16,1
342,11,6,1500,58,1
372,4,2,500,52,1
637,14,7,1750,35,1
366,23,15,3750,57,1
130,4,5,1250,28,1
299,14,2,500,14,1
725,21,1,250,21,1
488,21,2,500,41,1
151,4,6,1500,39,1
71,2,4,1000,16,1
136,2,5,1250,37,1
489,21,3,750,64,1
566,4,6,1500,35,1
88,4,2,500,4,1
294,11,5,1250,35,1
301,14,2,500,14,1
357,14,3,750,26,1
216,4,1,250,4,1
643,10,5,1250,38,1
433,14,4,1000,64,1
102,4,9,2250,40,1
704,16,1,250,16,1
439,18,8,2000,95,1
578,11,5,1250,18,1
79,2,2,500,4,1
229,4,1,250,4,1
679,14,3,750,28,1
169,2,1,250,2,1
255,2,3,750,35,1
592,2,3,750,22,1
435,16,7,1750,93,1
340,14,4,1000,30,1
310,11,5,1250,38,1
408,16,1,250,16,1
59,3,6,1500,21,1
258,4,3,750,28,1
564,4,14,3500,86,1
394,16,4,1000,40,1
443,11,3,750,76,1
78,2,2,500,4,1
316,11,2,500,17,1
207,2,7,1750,76,1
228,4,1,250,4,1
497,38,1,250,38,1
483,23,1,250,23,1
401,23,5,1250,33,1
554,2,4,1000,23,1
595,3,5,1250,38,1
434,14,2,500,35,1
602,9,3,750,14,1
710,23,2,500,23,1
604,4,2,500,13,1
415,16,1,250,16,1
154,2,1,250,2,1
400,18,2,500,23,1
161,2,1,250,2,1
218,4,1,250,4,1
201,4,7,1750,58,1
405,14,3,750,41,1
719,23,8,2000,69,1
334,16,2,500,16,1
360,14,6,1500,51,1
446,23,2,500,26,1
138,9,5,1250,19,1
533,2,4,1000,14,1
437,14,3,750,52,1
550,4,4,1000,16,1
730,21,2,500,33,1
684,16,4,1000,33,1
738,23,1,250,23,1
397,21,3,750,26,1
362,4,3,750,71,1
172,2,1,250,2,1
363,21,13,3250,57,1
10,4,23,5750,58,1
250,11,2,500,11,1
650,9,1,250,9,1
677,23,19,4750,62,1
707,11,4,1000,74,1
702,16,1,250,16,1
436,21,2,500,25,1
716,21,2,500,26,1
625,7,5,1250,35,1
729,23,3,750,39,1
697,14,3,750,35,1
377,14,1,250,14,1
142,4,3,750,16,1
69,1,9,2250,51,1
559,3,8,2000,50,1
673,16,14,3500,83,1
186,4,5,1250,34,1
70,2,4,1000,16,1
579,2,3,750,21,1
244,9,2,500,11,1
499,74,1,250,74,1
717,21,3,750,35,1
547,2,3,750,11,1
117,4,11,2750,61,1
692,14,1,250,14,1
416,16,1,250,16,1
598,2,3,750,24,1
460,21,1,250,21,1
238,2,4,1000,43,1
720,21,3,750,38,1
83,2,4,1000,16,1
325,14,2,500,16,1
655,16,16,4000,77,1
556,5,6,1500,28,1
381,14,1,250,14,1
50,2,11,2750,46,1
188,8,15,3750,77,1
476,23,6,1500,70,1
463,21,1,250,21,1
662,16,3,750,21,1
354,16,4,1000,28,1
561,4,9,2250,52,1
280,14,16,4000,70,1
603,14,8,2000,26,1
723,23,2,500,28,1
319,11,5,1250,41,1
29,4,8,2000,21,1
423,21,2,500,23,1
546,7,14,3500,48,1
227,4,3,750,24,1
368,11,2,500,26,1
683,11,3,750,37,1
494,23,2,500,87,1
326,2,2,500,41,1
589,2,1,250,2,1
173,2,1,250,2,1
86,4,2,500,4,1
140,2,9,2250,74,1
474,21,2,500,35,1
613,4,1,250,4,1
668,11,1,250,11,1
671,16,4,1000,28,1
733,23,1,250,23,1
467,21,4,1000,52,1
636,4,5,1250,58,1
691,14,1,250,14,1
205,11,6,1500,26,1
111,4,9,2250,46,1
68,4,7,1750,25,1
41,2,5,1250,16,1
341,23,38,9500,98,1
167,2,1,250,2,1
302,14,2,500,14,1
713,16,6,1500,81,1
358,9,2,500,26,1
274,4,5,1250,58,1
283,8,2,500,16,1
385,14,7,1750,72,1
457,21,1,250,21,1
270,16,11,2750,40,1
441,11,3,750,76,1
686,13,7,1750,76,1
461,21,1,250,21,1
235,8,10,2500,63,1
210,4,1,250,4,1
745,23,3,750,62,1
103,2,5,1250,26,1
275,4,4,1000,46,1
13,1,13,3250,47,1
654,14,3,750,21,1
469,11,2,500,70,1
67,0,2,500,4,1
402,23,8,2000,46,1
114,2,12,3000,82,1
737,23,1,250,23,1
495,35,3,750,64,1
597,4,6,1500,43,1
311,11,2,500,16,1
742,16,3,750,86,1
450,23,3,750,33,1
214,4,1,250,4,1
563,7,10,2500,47,1
688,14,3,750,33,1
343,11,1,250,11,1
687,16,6,1500,50,1
456,21,1,250,21,1
339,9,3,750,34,1
656,4,2,500,31,1
5,4,4,1000,4,1
735,23,1,250,23,1
81,2,4,1000,16,1
85,2,6,1500,28,1
320,15,16,4000,82,1
211,4,1,250,4,1
286,4,2,500,23,1
349,11,1,250,11,1
171,2,1,250,2,1
379,14,1,250,14,1
658,11,3,750,26,1
657,14,8,2000,50,1
298,14,2,500,14,1
484,23,1,250,23,1
317,14,4,1000,26,1
694,14,1,250,14,1
482,23,1,250,23,1
674,16,10,2500,62,1
600,2,2,500,14,1
7,1,12,3000,35,1
239,8,9,2250,58,1
292,11,4,1000,28,1
87,4,2,500,4,1
109,2,10,2500,64,1
492,23,4,1000,87,1
226,4,1,250,4,1
344,11,1,250,11,1
487,23,3,750,48,1
4,1,24,6000,77,1
645,14,2,500,14,1
477,23,1,250,23,1
389,14,7,1750,73,1
77,2,2,500,4,1
304,14,6,1500,34,1
277,4,3,750,34,1
393,11,4,1000,61,1
512,2,11,2750,28,1
425,16,5,1250,60,1
424,14,4,1000,57,1
139,2,2,500,11,1
257,11,7,1750,37,1
135,2,3,750,19,1
