,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,y
532,3,173,364,0.673382,0.619243,0.367532,0.852842,0.008899,0.496173,0.753665,0.242608,0.672541,0.631908,0.165891,0.985802,0.325517,0.806718,0.068122,0.871482,0.88656,0
447,3,88,538,0.997759,0.580561,0.679121,0.530227,0.184133,0.400308,0.354162,0.311699,0.958506,0.675266,0.218502,0.448845,0.306672,0.625189,0.657674,0.249816,0.703758,0
419,3,60,518,0.959324,0.035378,0.226162,0.280774,0.580513,0.985693,0.613749,0.226661,0.503158,0.565575,0.789564,0.71762,0.412961,0.360762,0.502212,0.041973,0.843921,0
291,2,112,482,0.892363,0.802123,0.984419,0.212193,0.808875,0.264226,0.969816,0.144152,0.741067,0.385611,0.071712,0.935856,0.227156,0.567388,0.04907,0.375561,0.10441,0
432,3,73,447,0.826922,0.406354,0.833845,0.365578,0.26832,0.968614,0.563184,0.293683,0.372078,0.073879,0.130735,0.914075,0.130585,0.423131,0.695344,0.460285,0.05565,0
203,2,24,182,0.337014,0.267667,0.146293,0.611027,0.607979,0.932884,0.100847,0.647992,0.6394,0.493841,0.278881,0.838653,0.048541,0.576465,0.133334,0.727012,0.024779,1
421,3,62,261,0.483073,0.630996,0.398858,0.821448,0.099103,0.020633,0.671835,0.987329,0.491378,0.315062,0.192911,0.328366,0.926487,0.870771,0.675432,0.314472,0.085217,1
300,2,121,237,0.43734,0.285545,0.082354,0.552145,0.258568,0.122338,0.040724,0.975787,0.310362,0.741989,0.960359,0.434486,0.094097,0.390292,0.729261,0.318428,0.142756,1
65,1,66,144,0.266649,0.105046,0.92215,0.232658,0.120187,0.022208,0.367209,0.936907,0.595062,0.593229,0.418347,0.331339,0.48161,0.194637,0.763,0.219925,0.233415,1
452,3,93,104,0.192319,0.736321,0.280574,0.186312,0.140274,0.407866,0.62178,0.56514,0.625201,0.679693,0.732388,0.254158,0.49474,0.011002,0.9229,0.712096,0.270385,1
480,3,121,300,0.554926,0.927009,0.732911,0.650768,0.251788,0.934305,0.155318,0.288734,0.629526,0.836605,0.575441,0.70245,0.09618,0.520316,0.861819,0.783295,0.855445,1
260,2,81,335,0.621089,0.498511,0.303224,0.162428,0.432369,0.101964,0.910235,0.805387,0.461148,0.640479,0.019831,0.335795,0.466479,0.24368,0.96769,0.093833,0.437397,1
312,2,133,193,0.357042,0.012811,0.599547,0.177581,0.126837,0.763115,0.606587,0.46544,0.691356,0.066099,0.377258,0.105607,0.757512,0.949646,0.197627,0.459818,0.305932,1
225,2,46,196,0.361708,0.360131,0.900579,0.770371,0.571773,0.937407,0.427482,0.236838,0.885329,0.840437,0.686895,0.634521,0.557665,0.754862,0.085976,0.934018,0.669536,1
246,2,67,53,0.096726,0.223834,0.250772,0.961914,0.778301,0.454327,0.988598,0.76536,0.373888,0.920885,0.860785,0.85638,0.904239,0.507426,0.02555,0.590664,0.655038,1
25,1,26,17,0.029995,0.500945,0.18144,0.501907,0.017165,0.683837,0.239436,0.694846,0.762668,0.11862,0.694098,0.489323,0.354129,0.527806,0.777713,0.309117,0.262728,1
335,2,156,66,0.121835,0.716785,0.586173,0.480664,0.620982,0.165217,0.45163,0.964818,0.280846,0.015481,0.106661,0.550966,0.457226,0.718171,0.053602,0.928325,0.372339,1
472,3,113,302,0.560933,0.478121,0.526266,0.75762,0.967341,0.042822,0.840235,0.663999,0.058176,0.672183,0.311557,0.59266,0.139145,0.864585,0.767072,0.580635,0.482022,1
