,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,locode,locomment,loccodeandcomment,loblank,uniq_op,uniq_opnd,total_op,total_opnd,branchcount,y
108,11.0,1.0,1.0,1.0,38.0,152.0,0.14,7.0,21.71,1064.0,0.05,59.11,10,6,1,5,8.0,8.0,24.0,14.0,1.0,0
811,15.0,3.0,1.0,3.0,60.0,300.0,0.1,10.11,29.67,3033.33,0.1,168.52,15,2,0,8,14.0,18.0,34.0,26.0,5.0,0
728,72.0,26.0,13.0,1.0,425.0,2694.44,0.02,40.21,67.01,108344.7,0.9,6019.15,72,13,0,23,24.0,57.0,234.0,191.0,51.0,0
882,3.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,3,0,0,0,3.0,2.0,3.0,2.0,1.0,0
915,123.0,1.0,1.0,1.0,1212.0,8551.0,0.07,14.29,598.33,122205.27,2.85,6789.18,123,0,0,1,6.0,127.0,607.0,605.0,1.0,0
731,9.0,2.0,1.0,1.0,48.0,200.16,0.09,11.5,17.4,2301.8,0.07,127.88,9,0,0,4,9.0,9.0,25.0,23.0,3.0,0
772,8.0,3.0,1.0,3.0,57.0,279.69,0.09,11.38,24.59,3181.51,0.09,176.75,8,0,0,0,14.0,16.0,31.0,26.0,5.0,0
747,5.0,1.0,1.0,1.0,14.0,50.19,0.33,3.0,16.73,150.57,0.02,8.36,5,0,0,0,6.0,6.0,8.0,6.0,1.0,0
282,6.0,1.0,1.0,1.0,16.0,50.72,0.23,4.38,11.59,221.89,0.02,12.33,4,0,2,2,5.0,4.0,9.0,7.0,1.0,0
977,8.0,3.0,1.0,1.0,37.0,167.37,0.08,12.44,13.45,2082.85,0.06,115.71,8,0,0,1,14.0,9.0,21.0,16.0,5.0,0
1045,18.0,5.0,1.0,2.0,77.0,361.93,0.04,23.18,15.61,8390.28,0.12,466.13,18,0,0,1,15.0,11.0,43.0,34.0,9.0,0
796,9.0,2.0,1.0,2.0,28.0,114.45,0.15,6.75,16.96,772.53,0.04,42.92,9,0,0,1,9.0,8.0,16.0,12.0,3.0,0
609,18.0,7.0,1.0,3.0,124.0,650.74,0.06,16.19,40.19,10535.84,0.22,585.32,16,5,2,10,17.0,21.0,84.0,40.0,13.0,0
644,8.0,1.0,1.0,1.0,41.0,164.0,0.1,10.29,15.94,1686.86,0.05,93.71,7,2,1,0,9.0,7.0,25.0,16.0,1.0,0
591,7.0,3.0,1.0,1.0,40.0,172.88,0.09,11.0,15.72,1901.65,0.06,105.65,6,8,1,8,11.0,9.0,22.0,18.0,5.0,0
345,103.0,19.0,6.0,7.0,716.0,4670.87,0.02,43.99,106.19,205454.31,1.56,11414.13,101,37,2,31,19.0,73.0,378.0,338.0,37.0,0
1037,11.0,3.0,1.0,1.0,22.0,83.76,0.21,4.67,17.95,390.89,0.03,21.72,11,0,0,1,8.0,6.0,15.0,7.0,4.0,0
974,7.0,1.0,1.0,1.0,33.0,140.18,0.16,6.3,22.25,883.14,0.05,49.06,7,0,0,1,9.0,10.0,19.0,14.0,1.0,0
1080,3.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,3,0,0,0,3.0,1.0,3.0,1.0,1.0,0
1001,24.0,1.0,1.0,1.0,186.0,938.26,0.05,21.75,43.14,20407.1,0.31,1133.73,24,0,0,2,11.0,22.0,99.0,87.0,1.0,0
1107,18.0,8.0,5.0,5.0,111.0,613.12,0.04,22.92,26.75,14050.56,0.2,780.59,18,0,0,1,22.0,24.0,61.0,50.0,15.0,0
328,13.0,1.0,1.0,1.0,49.0,218.51,0.23,4.31,50.67,942.33,0.07,52.35,11,15,2,9,6.0,16.0,26.0,23.0,1.0,0
666,8.0,2.0,1.0,1.0,18.0,70.32,0.19,5.25,13.4,369.2,0.02,20.51,8,0,0,1,9.0,6.0,11.0,7.0,3.0,0
840,7.0,3.0,1.0,1.0,40.0,169.92,0.11,9.0,18.88,1529.25,0.06,84.96,7,0,0,1,9.0,10.0,20.0,20.0,5.0,0
723,39.0,5.0,1.0,5.0,296.0,1741.26,0.04,25.12,69.33,43734.03,0.58,2429.67,39,10,0,15,16.0,43.0,161.0,135.0,9.0,0
650,10.0,4.0,3.0,1.0,35.0,148.68,0.07,13.71,10.84,2039.01,0.05,113.28,10,0,0,3,12.0,7.0,19.0,16.0,7.0,0
558,7.0,1.0,1.0,1.0,17.0,64.73,0.29,3.5,18.49,226.54,0.02,12.59,7,1,0,1,7.0,7.0,10.0,7.0,1.0,0
627,83.0,20.0,15.0,7.0,325.0,2109.85,0.03,39.17,53.86,82648.01,0.7,4591.56,80,23,3,32,32.0,58.0,183.0,142.0,39.0,0
327,10.0,1.0,1.0,1.0,40.0,166.8,0.27,3.65,45.65,609.45,0.06,33.86,8,3,2,2,5.0,13.0,21.0,19.0,1.0,0
163,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
1108,26.0,18.0,13.0,6.0,228.0,1335.62,0.03,35.81,37.29,47834.26,0.45,2657.46,26,0,0,1,23.0,35.0,119.0,109.0,35.0,0
1026,18.0,4.0,3.0,2.0,66.0,310.23,0.06,16.32,18.99,5067.07,0.1,281.5,17,0,1,1,14.0,12.0,38.0,28.0,7.0,0
155,10.0,1.0,1.0,1.0,37.0,167.37,0.14,7.09,23.6,1186.82,0.06,65.93,10,19,0,11,12.0,11.0,24.0,13.0,1.0,0
187,18.0,5.0,3.0,3.0,97.0,512.67,0.05,18.86,27.19,9667.76,0.17,537.1,18,3,0,9,18.0,21.0,53.0,44.0,9.0,0
837,6.0,1.0,1.0,1.0,27.0,116.69,0.14,7.33,15.91,855.74,0.04,47.54,6,2,0,1,11.0,9.0,15.0,12.0,1.0,0
452,13.0,2.0,1.0,1.0,75.0,324.14,0.08,12.33,26.28,3997.78,0.11,222.1,12,1,1,2,8.0,12.0,38.0,37.0,3.0,0
751,11.0,1.0,1.0,1.0,77.0,357.58,0.09,11.0,32.5,3933.35,0.12,218.52,11,3,0,3,10.0,15.0,44.0,33.0,1.0,0
614,22.0,5.0,5.0,4.0,100.0,535.76,0.07,14.52,36.9,7779.61,0.18,432.2,22,0,0,13,17.0,24.0,59.0,41.0,9.0,0
184,3.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,3,0,0,0,3.0,2.0,3.0,2.0,1.0,0
950,18.0,6.0,6.0,2.0,88.0,454.95,0.05,20.0,22.75,9099.07,0.15,505.5,18,0,0,1,18.0,18.0,48.0,40.0,11.0,0
1005,14.0,6.0,4.0,2.0,74.0,366.61,0.04,22.73,16.12,8332.05,0.12,462.89,14,1,0,1,20.0,11.0,49.0,25.0,11.0,0
1023,6.0,1.0,1.0,1.0,18.0,72.0,0.15,6.6,10.91,475.2,0.02,26.4,6,0,0,1,11.0,5.0,12.0,6.0,1.0,0
148,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
256,32.0,7.0,1.0,3.0,120.0,642.91,0.06,16.96,37.91,10903.69,0.21,605.76,32,8,0,19,16.0,25.0,67.0,53.0,13.0,0
570,20.0,4.0,1.0,4.0,65.0,309.07,0.09,11.61,26.63,3587.39,0.1,199.3,18,2,2,6,13.0,14.0,40.0,25.0,6.0,0
821,14.0,3.0,1.0,1.0,39.0,181.11,0.16,6.29,28.81,1138.41,0.06,63.24,14,1,0,7,11.0,14.0,23.0,16.0,5.0,0
100,14.0,1.0,1.0,1.0,68.0,343.02,0.13,7.43,46.18,2548.14,0.11,141.56,14,19,0,18,12.0,21.0,42.0,26.0,1.0,0
486,11.0,1.0,1.0,1.0,55.0,220.0,0.22,4.5,48.89,990.0,0.07,55.0,11,0,0,4,4.0,12.0,28.0,27.0,1.0,0
