,loc_blank,branch_count,call_pairs,loc_code_and_comment,loc_comments,condition_count,cyclomatic_complexity,cyclomatic_density,decision_count,decision_density,design_complexity,design_density,edge_count,essential_complexity,essential_density,loc_executable,parameter_count,halstead_content,halstead_difficulty,halstead_effort,halstead_error_est,halstead_length,halstead_level,halstead_prog_time,halstead_volume,maintenance_severity,modified_condition_count,multiple_condition_count,node_count,normalized_cylomatic_complexity,num_operands,num_operators,num_unique_operands,num_unique_operators,number_of_lines,percent_comments,loc_total,y
807,2,39,1,0,3,76,20,0.37,38,2.0,2,0.1,66,1,0.0,54,2,70.18,13.46,12721.96,0.31,162,0.07,706.78,944.93,0.05,19,38,48,0.33,69,93,41,16,60,5.26,54,0
359,7,6,6,1,0,0,5,0.15,0,0.0,5,1.0,15,1,0.0,32,1,46.12,12.92,7702.88,0.2,112,0.08,427.94,596.06,0.2,0,0,12,0.12,48,64,26,14,41,3.03,33,0
17,11,5,3,0,13,8,3,0.25,4,2.0,1,0.33,12,1,0.0,12,0,36.12,6.39,1474.26,0.08,48,0.16,81.9,230.75,0.33,2,4,11,0.08,23,25,18,10,37,52.0,12,0
1534,0,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0.0,0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,2,1.0,0,2,0,2,1,0.0,0,0
1202,1,13,2,0,0,22,7,0.5,10,2.2,2,0.29,24,1,0.0,14,0,29.59,14.55,6259.35,0.14,82,0.07,347.74,430.33,0.14,6,11,19,0.44,40,42,22,16,16,0.0,14,0
1482,1,1,0,0,0,0,1,0.17,0,0.0,1,1.0,1,1,0.0,6,0,20.76,4.0,332.19,0.03,25,0.25,18.46,83.05,1.0,0,0,2,0.13,12,13,6,4,8,0.0,6,0
162,0,3,1,0,0,4,2,0.5,2,2.0,2,1.0,6,1,0.0,4,1,12.17,8.4,858.37,0.03,25,0.12,47.69,102.19,0.5,1,2,6,0.4,7,18,5,12,5,0.0,4,0
625,3,5,4,0,0,8,3,0.25,4,2.0,3,1.0,12,1,0.0,12,0,24.82,7.86,1532.47,0.07,42,0.13,85.14,195.04,0.33,2,4,11,0.19,20,22,14,11,16,0.0,12,0
1119,1,3,0,0,0,4,2,0.1,2,2.0,1,0.5,7,1,0.0,20,3,54.2,22.0,26232.24,0.4,243,0.05,1457.35,1192.37,0.5,1,2,7,0.09,121,122,22,8,22,0.0,20,0
1120,0,3,1,0,0,4,2,0.18,2,2.0,2,1.0,6,1,0.0,11,0,15.77,6.87,745.37,0.04,26,0.15,41.41,108.42,0.5,1,2,6,0.17,11,15,8,10,12,0.0,11,0
842,15,5,4,1,25,8,3,0.2,4,2.0,3,1.0,11,1,0.0,14,1,49.71,9.92,4895.11,0.16,94,0.1,271.95,493.31,0.33,2,4,10,0.05,43,51,26,12,56,65.0,15,0
1218,5,23,9,1,1,44,12,0.24,22,2.0,9,0.75,57,10,0.82,50,2,53.31,30.13,48410.46,0.54,263,0.03,2689.47,1606.54,0.83,11,22,47,0.21,113,150,45,24,58,3.85,51,0
1189,6,1,1,1,0,0,1,0.33,0,0.0,1,1.0,2,1,0.0,2,0,9.83,2.0,39.3,0.01,7,0.5,2.18,19.65,1.0,0,0,3,0.1,3,4,3,4,10,33.33,3,0
934,0,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0.0,0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,2,1.0,0,2,0,2,1,0.0,0,0
223,1,9,1,0,0,16,5,0.28,8,2.0,1,0.2,22,1,0.0,18,1,11.47,28.0,8990.21,0.11,72,0.04,499.46,321.08,0.2,4,8,19,0.25,32,40,8,14,20,0.0,18,0
382,1,3,1,0,0,4,2,0.18,2,2.0,2,1.0,8,1,0.0,11,1,22.15,6.4,907.38,0.05,34,0.16,50.41,141.78,0.5,1,2,8,0.15,16,18,10,8,13,0.0,11,0
737,4,1,1,0,0,0,1,0.14,0,0.0,1,1.0,2,1,0.0,7,1,32.52,6.86,1528.95,0.07,50,0.15,84.94,222.97,1.0,0,0,3,0.08,24,26,14,8,12,0.0,7,0
1216,3,1,2,0,0,0,1,0.33,0,0.0,1,1.0,3,1,0.0,3,2,15.85,2.4,91.29,0.01,12,0.42,5.07,38.04,1.0,0,0,4,0.14,6,6,5,4,7,0.0,3,0
93,2,1,1,0,0,0,1,0.33,0,0.0,1,1.0,2,1,0.0,3,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1.0,0,0,3,0.17,2,4,2,4,6,0.0,3,0
1132,4,5,1,0,0,6,3,0.25,2,3.0,1,0.33,10,3,1.0,12,2,21.13,11.5,2794.53,0.08,53,0.09,155.25,243.0,1.0,2,3,9,0.18,23,30,12,12,17,0.0,12,0
882,14,11,4,3,19,20,6,0.19,10,2.0,4,0.67,25,5,0.8,28,0,25.75,23.98,14801.55,0.21,116,0.04,822.31,617.34,0.83,5,10,21,0.09,53,63,21,19,65,44.0,31,0
