,v1,v2,v3,v4,y
386,-2.4953,11.1472,1.9353,-3.4638,0
1151,-2.3142,-0.68494,1.9833,-0.44829,1
732,-2.7143,11.4535,2.1092,-3.9629,0
883,-3.3604,-0.32696,2.1324,0.6017,1
1219,-3.5798,0.45937,2.3457,-0.45734,1
822,-3.0731,-0.53181,2.3877,0.77627,1
792,-2.7338,0.45523,2.4391,0.21766,1
1249,-3.38,-0.7077,2.5325,0.71808,1
99,-2.7419,11.4038,2.5394,-5.5793,0
388,-2.2527,11.5321,2.5899,-3.2737,0
1005,-2.899,-0.60424,2.6045,1.3776,1
853,-3.1366,0.42212,2.6225,-0.064238,1
1310,-3.3458,-0.50491,2.6328,0.53705,1
1280,-3.3553,0.35591,2.6473,-0.37846,1
1371,-2.5419,-0.65804,2.6842,1.1952,1
975,-3.0799,0.60836,2.7039,-0.23751,1
1188,-3.0201,-0.67253,2.7056,0.85774,1
1302,-2.5724,-0.95602,2.7073,-0.16639,1
1241,-2.2811,-0.85669,2.7185,0.044382,1
1341,-2.2625,-0.099335,2.8127,0.48662,1
420,-2.484,12.1611,2.8204,-3.7418,0
220,-2.2261,12.5398,2.9438,-3.5258,0
516,-2.3983,12.606,2.9464,-5.7888,0
1158,-3.3203,-0.02691,2.9618,-0.44958,1
1180,-2.2183,-1.254,2.9986,0.36378,1
1036,-2.3898,-0.78427,3.0141,0.76205,1
231,-2.3361,11.9604,3.0835,-5.4435,0
349,-4.2859,8.5234,3.1392,-0.91639,0
126,-2.343,12.9516,3.3285,-5.9426,0
914,-2.5346,-0.77392,3.3602,0.00171,1
1097,-2.5919,-1.0553,3.8949,0.77757,1
976,-2.2987,-5.227,5.63,0.91722,1
793,-2.286,-5.4484,5.8039,0.88231,1
1220,-2.7769,-5.6967,5.9179,0.37671,1
1281,-2.7908,-5.7133,5.953,0.45946,1
1307,-2.6406,-4.4159,5.983,-0.13924,1
1159,-2.565,-5.7899,6.0122,0.046968,1
969,-2.1786,-6.4479,6.0344,-0.20777,1
854,-2.5754,-5.6574,6.103,0.65214,1
1213,-2.62,-6.8555,6.2169,-0.62285,1
1185,-2.2617,-4.7428,6.3489,0.11162,1
1246,-2.4561,-4.5566,6.4534,-0.056479,1
880,-2.3518,-4.8359,6.6479,-0.060358,1
593,-2.7914,1.7734,6.7756,-0.39915,0
847,-2.4824,-7.3046,6.839,-0.59053,1
1152,-2.4835,-7.4494,6.8964,-0.64484,1
1274,-2.5526,-7.3625,6.9255,-0.66811,1
825,-2.234,-7.0314,7.4936,0.61334,1
1252,-2.7083,-6.8266,7.5339,0.59007,1
1191,-2.5665,-6.8824,7.5416,0.70774,1
1130,-2.2918,-7.257,7.9597,0.9211,1
848,-2.9098,-10.0712,8.4156,-1.9948,1
970,-2.3299,-9.9532,8.4756,-1.8733,1
1010,-2.9915,-6.6258,8.6521,1.8198,1
1214,-2.9662,-10.3257,8.784,-2.1138,1
1071,-2.5373,-6.959,8.8054,1.5289,1
1267,-2.4554,-9.0407,8.862,-0.86983,1
1275,-3.0986,-10.4602,8.9717,-2.3427,1
1206,-2.4349,-9.2497,8.9922,-0.50001,1
955,-2.2083,-9.1069,8.9991,-0.28406,1
888,-2.5701,-6.8452,8.9999,2.1353,1
1153,-2.7611,-10.5099,9.0239,-1.9547,1
833,-2.8267,-9.0407,9.0694,-0.98233,1
787,-2.6685,-10.4519,9.1139,-1.7323,1
1145,-2.3221,-9.3304,9.233,-0.79871,1
772,-2.4115,-9.1359,9.3444,-0.65259,1
840,-2.258,-9.3263,9.3727,-0.85949,1
1260,-3.0,-9.1566,9.5766,-0.73018,1
1199,-2.9138,-9.4711,9.7668,-0.60216,1
1138,-2.5961,-9.349,9.7942,-0.28018,1
1254,-3.8894,-7.8322,9.8208,0.47498,1
766,-3.5681,-8.213,10.083,0.96765,1
1242,-3.6053,-5.974,10.0916,-0.82846,1
1303,-3.9297,-6.0816,10.0958,-1.0147,1
827,-3.8073,-8.0971,10.1772,0.65084,1
876,-3.5916,-6.2285,10.2389,-1.1543,1
1315,-2.9498,-8.273,10.2646,1.1629,1
1193,-3.7573,-8.2916,10.3032,0.38059,1
1132,-3.3884,-8.215,10.3315,0.98187,1
1304,-5.2943,-5.1463,10.3332,-1.1181,1
877,-5.1216,-5.3118,10.3846,-1.0612,1
1060,-4.8426,-4.9932,10.4052,-0.53104,1
1243,-5.0676,-5.1877,10.4266,-0.86725,1
949,-3.1158,-8.6289,10.4403,0.97153,1
1364,-2.8391,-6.63,10.4849,-0.42113,1
1065,-3.6012,-6.5389,10.5234,-0.48967,1
1181,-3.5895,-6.572,10.5251,-0.16381,1
998,-3.0866,-6.6362,10.5405,-0.89182,1
815,-3.1128,-6.841,10.7402,-1.0172,1
1365,-4.5046,-5.8126,10.8867,-0.52846,1
938,-4.3773,-5.5167,10.939,-0.4082,1
1121,-4.6765,-5.6636,10.969,-0.33449,1
816,-4.8554,-5.9037,10.9818,-0.82199,1
1182,-5.0477,-5.8023,11.244,-0.3901,1
999,-4.7331,-6.1789,11.388,-1.0741,1
943,-3.1273,-7.1121,11.3897,-0.083634,1
1126,-3.3582,-7.2404,11.4419,-0.57113,1
1059,-3.2305,-7.2135,11.6433,-0.94613,1
937,-2.902,-7.6563,11.8318,-0.84268,1
1309,-4.2887,-7.8633,11.8387,-1.8978,1
1120,-3.1875,-7.5756,11.8678,-0.57889,1
902,-2.8957,-12.0205,11.9149,-2.7552,1
1024,-3.0061,-12.2377,11.9552,-2.1603,1
882,-4.3876,-7.7267,11.9655,-1.4543,1
1248,-4.1958,-8.1819,12.1291,-1.6017,1
1004,-3.7181,-8.5089,12.363,-0.95518,1
1370,-3.5637,-8.3827,12.393,-1.2823,1
821,-4.0173,-8.3123,12.4547,-1.4375,1
1187,-4.0218,-8.304,12.555,-1.5099,1
1085,-2.6649,-12.813,12.6689,-1.9082,1
1207,-3.793,-12.7095,12.7957,-2.825,1
841,-3.8858,-12.8461,12.7957,-3.1353,1
1146,-3.73,-12.9723,12.9817,-2.684,1
963,-3.3863,-12.9889,13.0545,-2.7202,1
1268,-3.9411,-12.8792,13.0597,-3.3125,1
780,-3.5801,-12.9309,13.1779,-2.5677,1
1329,-2.9672,-13.2869,13.4727,-2.6271,1
948,-3.4917,-12.1736,14.3689,-0.61639,1
1009,-3.5713,-12.4922,14.8881,-0.47027,1
826,-4.211,-12.4736,14.9704,-1.3884,1
1314,-3.506,-12.5667,15.1606,-0.75216,1
1253,-4.5531,-12.5854,15.4417,-1.4983,1
887,-3.2692,-12.7406,15.5573,-0.14182,1
1131,-4.0214,-12.8006,15.6199,-0.95647,1
1192,-4.4018,-12.9371,15.6559,-1.6806,1
1070,-3.1423,-13.0365,15.6773,-0.66165,1
765,-3.8483,-12.8047,15.6824,-1.281,1
1308,-4.6338,-12.7509,16.7166,-3.2168,1
1003,-3.8203,-13.0551,16.9583,-2.3052,1
1247,-4.4775,-13.0303,17.0834,-3.0345,1
1186,-4.244,-13.0634,17.1116,-2.8017,1
881,-4.4861,-13.2889,17.3087,-3.2194,1
1064,-3.6961,-13.6779,17.5795,-2.6181,1
1369,-3.7503,-13.4586,17.5932,-2.7771,1
1125,-3.5985,-13.6593,17.6052,-2.4927,1
820,-4.0025,-13.4979,17.6772,-3.3202,1
942,-3.3793,-13.7731,17.9274,-2.0323,1
