,v1,v2,v3,v4,y
162,0.17346,7.8695,0.26876,-3.7883,0
625,4.0948,-2.9674,2.3689,0.75429,0
223,4.6464,10.5326,-4.5852,-4.206,0
382,0.86202,2.6963,4.2908,0.54739,0
737,4.1542,7.2756,-2.4766,-1.2099,0
93,2.4486,-6.3175,7.9632,0.20602,0
731,1.0182,9.109,-0.62064,-1.7129,0
609,3.4092,5.4049,-2.5228,-0.89958,0
644,3.0333,-2.5928,2.3183,0.303,0
591,1.5268,-5.5871,8.6564,-1.722,0
345,-1.8584,7.886,-1.6643,-1.8384,0
666,1.2262,0.89599,5.7568,-0.11596,0
723,0.74841,7.2756,1.1504,-0.5388,0
650,0.21084,9.4359,-0.094543,-1.859,0
558,4.3846,-4.8794,3.3662,-0.029324,0
627,2.0153,0.43661,4.5864,-0.3151,0
327,4.2164,9.4607,-4.9288,-5.2366,0
163,2.4008,9.3593,-3.3565,-3.3526,0
155,2.486,-0.99533,5.3404,-0.15475,0
187,1.8314,6.3672,-0.036278,0.049554,0
452,0.77124,9.0862,-1.2281,-1.4996,0
751,2.2546,8.0992,-0.24877,-3.2698,0
614,2.5089,6.841,-0.029423,0.44912,0
184,-1.7559,11.9459,3.0946,-4.8978,0
57,5.807,5.0097,-2.2384,0.43878,0
148,3.6277,0.9829,0.68861,0.63403,0
256,3.0934,-2.9177,2.2232,0.22283,0
570,3.9382,0.9291,0.78543,0.6767,0
100,3.3669,-5.1856,3.6935,-1.1427,0
486,3.8832,6.4023,-2.432,-0.98363,0
626,1.8384,6.063,0.54723,0.51248,0
582,4.0552,0.40143,1.4563,0.65343,0
503,4.9294,0.27727,0.20792,0.33662,0
628,3.5251,0.7201,1.6928,0.64438,0
493,2.8084,11.3045,-3.3394,-4.4194,0
160,5.0452,3.8964,-1.4304,0.86291,0
501,1.2999,2.5762,2.0107,-0.18967,0
179,2.3925,9.798,-3.0361,-2.8224,0
105,3.5438,1.2395,1.997,2.1547,0
413,3.4769,-0.15314,2.53,2.4495,0
532,2.5227,2.2369,2.7236,0.79438,0
481,2.8261,9.4007,-3.3034,-1.0509,0
491,3.0632,-3.3315,5.1305,0.8267,0
724,5.1213,8.5565,-3.3917,-1.5474,0
182,-0.69572,8.6165,1.8419,-4.3289,0
355,-0.21661,8.0329,1.8848,-3.8853,0
58,3.1377,-4.1096,4.5701,0.98963,0
458,4.3848,-3.0729,3.0423,1.2741,0
156,2.4226,-4.5752,5.947,0.21507,0
682,3.7321,-3.884,3.3577,-0.006049,0
480,0.94732,-0.57113,7.1903,-0.67587,0
175,3.583,-3.7971,3.4391,-0.12501,0
203,4.1757,10.2615,-3.8552,-4.3056,0
693,1.5478,9.1814,-1.6326,-1.7375,0
758,3.931,1.8541,-0.023425,1.2314,0
335,3.4667,-4.0724,4.2882,1.5418,0
699,3.9166,10.2491,-4.0926,-4.4659,0
539,4.2475,1.4816,-0.48355,0.95343,0
672,2.3164,-2.628,3.1529,-0.08622,0
752,0.38478,6.5989,-0.3336,-0.56466,0
414,1.9818,9.2621,-3.521,-1.872,0
585,4.3398,-5.3036,3.8803,-0.70432,0
621,3.3951,1.1484,2.1401,2.0862,0
635,1.8967,-2.5163,2.8093,-0.79742,0
208,2.1059,7.6046,-0.47755,-1.8461,0
146,3.8584,0.78425,1.1033,1.7008,0
447,3.9121,2.9735,0.92852,0.60558,0
419,1.9572,-5.1153,8.6127,-1.4297,0
89,3.8027,0.81529,2.1041,1.0245,0
82,5.0185,8.5978,-2.9375,-1.281,0
384,0.54777,10.3754,-1.5435,-4.1633,0
459,0.77445,9.0552,-2.4089,-1.3884,0
418,-1.2576,1.5892,7.0078,0.42455,0
473,2.8209,7.3108,-0.81857,-1.8784,0
49,1.6349,3.286,2.8753,0.087054,0
278,0.89566,7.7763,-2.7473,-1.9353,0
432,5.1776,8.2316,-3.2511,-1.5694,0
1300,-2.3277,1.4381,-0.82114,-1.2862,1
1119,-1.4375,-1.8624,4.026,0.55127,1
1120,-3.1875,-7.5756,11.8678,-0.57889,1
842,-1.8969,-6.7893,5.2761,-0.32544,1
1218,-5.4414,7.2363,0.10938,-7.5642,1
1189,-2.4941,3.5447,-1.3721,-2.8483,1
934,-1.6176,1.0926,-0.35502,-0.59958,1
1216,0.6005,0.99945,-2.2126,0.097399,1
1132,-3.3884,-8.215,10.3315,0.98187,1
882,-4.3876,-7.7267,11.9655,-1.4543,1
772,-2.4115,-9.1359,9.3444,-0.65259,1
1285,0.2952,4.8856,-5.149,-6.2323,1
796,1.6408,4.2503,-4.9023,-2.6621,1
1276,-0.89809,-4.4862,2.2009,0.50731,1
1331,0.22432,-0.52147,-0.40386,1.2017,1
1367,0.40614,1.3492,-1.4501,-0.55949,1
840,-2.258,-9.3263,9.3727,-0.85949,1
1100,1.4378,0.66837,-2.0267,1.0271,1
1078,-0.37013,-5.554,4.7749,1.547,1
1368,-1.3887,-4.8773,6.4774,0.34179,1
1026,0.11806,0.39108,-0.98223,0.42843,1
837,-6.2815,6.6651,0.52581,-7.0107,1
950,-2.0891,-0.48422,1.704,1.7435,1
1239,-2.4458,1.6285,-0.88541,-1.4802,1
1005,-2.899,-0.60424,2.6045,1.3776,1
1023,-1.7713,-10.7665,10.2184,-1.0043,1
1136,-0.41645,0.32487,-0.33617,-0.36036,1
821,-4.0173,-8.3123,12.4547,-1.4375,1
930,-2.2214,-0.23798,0.56008,0.05602,1
1115,-0.29858,2.4769,-2.9512,-0.66165,1
1221,-1.8356,-6.7562,5.0585,-0.55044,1
1261,-1.9116,-6.1603,5.606,0.48533,1
1207,-3.793,-12.7095,12.7957,-2.825,1
889,-1.3066,0.25244,0.7623,1.7758,1
1108,1.4501,3.6067,-4.0557,-1.5966,1
1344,1.3451,0.23589,-1.8785,1.3258,1
838,-2.3211,3.166,-1.0002,-2.7151,1
1222,0.30081,0.17381,-1.7542,0.48921,1
1084,-1.48,-10.5244,9.9176,-0.5026,1
1269,-2.1241,-6.8969,5.5992,-0.47156,1
1227,-2.564,-1.7051,1.5026,0.32757,1
933,-0.10234,1.8189,-2.2169,-0.56725,1
1324,0.062525,2.9301,-3.5467,-2.6737,1
824,-0.4294,-0.14693,0.044265,-0.15605,1
1249,-3.38,-0.7077,2.5325,0.71808,1
1049,-3.9594,4.0289,-0.35845,-3.8957,1
985,0.75108,1.9161,-3.1098,-0.20518,1
1134,-1.7063,2.7956,-2.378,-2.3491,1
1158,-3.3203,-0.02691,2.9618,-0.44958,1
980,0.63655,5.2022,-5.2159,-6.1211,1
946,-0.001285,0.13863,-0.19651,0.008175,1
1143,-2.4621,2.7645,-0.62578,-2.8573,1
1124,-1.7589,-6.4624,8.4773,0.31981,1
1315,-2.9498,-8.273,10.2646,1.1629,1
1293,-3.9698,3.6812,-0.60008,-4.0133,1
1228,-1.3414,-1.9162,-0.15538,-0.11984,1
1128,-2.1802,3.3791,-1.2256,-2.6621,1
1098,-1.8046,-6.8141,6.7019,1.1681,1
1283,0.15423,0.11794,-1.6823,0.59524,1
1265,-2.5463,3.1101,-0.83228,-3.0358,1
1277,0.56232,1.0015,-2.2726,-0.006049,1
