,v1,v2,v3,v4,v5,y
3292,-0.761304,-0.071001,0.530765,0.08845,-0.48121,0
1852,1.187316,-0.615846,-0.601909,-0.320811,-0.26767,0
2569,-1.107941,-0.374295,1.591611,0.984743,-0.854046,0
5135,0.44111,1.223412,-1.325362,-0.714305,-0.321044,0
3901,2.719753,-0.761807,-0.987004,-0.600699,-0.221714,0
1576,-0.548959,-0.920848,0.224535,2.379642,-1.808129,0
5022,-0.210662,2.167755,-1.387916,-0.813154,-0.354537,0
4265,1.969063,-1.734202,-0.596114,-0.301097,-0.295999,0
3105,-0.226003,1.871441,-1.434796,-0.863443,-0.441827,0
3340,0.192351,1.425267,-1.138792,-0.687408,-0.315454,0
1897,1.85755,-0.032825,-1.129496,-0.336295,0.346117,0
371,-0.023376,1.585996,-1.296889,-0.82898,-0.563117,0
2423,-0.620897,1.802668,-1.322012,-0.224894,0.133861,0
2012,-0.200363,0.263077,0.652395,0.286727,1.629285,0
34,0.573736,1.565716,0.117917,0.169403,-0.440998,0
762,2.472888,-0.796173,-0.967704,-0.38931,-0.031698,0
1774,-0.567177,0.172378,1.107415,-1.058162,-0.579821,0
3065,2.306235,0.019122,-1.089108,0.409504,-0.545814,0
3894,-0.175154,0.926288,0.131884,-0.812528,-0.351959,0
5205,0.880293,0.429635,0.013831,-0.001462,0.54837,0
3710,-0.214498,2.134467,-1.536468,0.113914,-0.466814,0
2963,-0.621945,-0.224457,1.380445,1.249378,-0.913057,0
3207,1.168358,-0.577562,-0.615277,-0.313358,0.035385,0
797,0.810481,-0.196715,-0.99015,-0.59106,-0.018272,0
971,0.289212,1.116427,-1.189211,-0.67935,0.047808,0
3600,3.28985,-1.824162,-0.655073,-0.590671,-0.214846,0
670,0.771482,0.391506,-1.180783,-0.984514,2.258935,0
3452,2.436858,-1.056932,-0.517928,-0.313227,-0.278007,0
2603,-0.434566,-0.26362,1.853727,0.646573,-0.796538,0
4445,-0.588204,-0.895498,1.109857,0.587108,1.876774,0
1111,-0.670851,0.007489,1.647456,-1.157877,-0.136583,0
4609,-0.645212,0.492885,0.044225,-0.093255,0.138281,0
4946,1.603233,-1.163246,-0.272122,1.810499,-1.053778,0
95,0.440202,0.162767,-0.444774,-0.269081,0.070634,0
74,-0.305798,2.575683,-1.471387,-0.807948,-0.402888,0
277,1.494386,-1.061397,-0.925608,-0.381904,-0.218037,0
3491,-0.541454,0.087778,1.315502,-1.37888,-0.136583,0
2893,-0.348368,0.66231,0.021219,-0.139711,0.335073,0
973,-0.703562,-0.788785,-0.175785,0.352929,-0.136583,0
4164,-0.292181,-0.431411,1.008078,0.563683,-1.027009,0
3881,0.102598,0.325564,-1.225532,-0.643866,-0.136583,0
3673,-0.663988,-0.829445,1.218012,1.580389,-1.128736,0
2829,-0.687936,-0.938647,0.932945,1.108643,1.099898,0
857,-0.647394,-0.405901,1.986065,-1.363245,-0.722854,0
2048,-0.330912,1.067136,-0.068016,0.018553,-0.769489,0
2427,-0.703902,-0.387542,1.771733,0.871289,0.754704,0
4386,1.728115,0.005668,-0.089545,-0.71576,0.193934,0
5268,0.554545,1.869032,-1.269042,-0.143538,0.527497,0
5288,-0.707457,0.080269,1.597306,-1.312279,-0.652959,0
1138,-0.131071,1.280059,0.869072,-0.974614,-0.436497,0
4434,-0.57117,-0.178867,1.2963,0.473012,-0.564847,0
139,2.897154,-0.888314,-1.011492,-0.696013,0.902268,0
3721,-0.302345,1.913706,-1.557423,0.110574,1.499251,0
432,-0.829076,-1.156631,-0.461957,1.289101,2.994958,0
3711,2.639844,-0.083433,-0.263517,-0.012929,0.340256,0
199,-0.23888,1.436923,0.506798,0.19347,-0.456138,0
1879,-0.558467,-0.146977,1.479977,-1.24563,-0.606156,0
254,-0.205608,0.958001,-1.27882,-0.727524,-0.317311,0
660,0.215987,1.096535,0.552755,0.545791,-0.533339,0
3433,-0.886615,-1.191509,-0.428445,-1.036845,-0.136583,0
1680,1.468534,-0.648364,-0.946418,-0.58529,-0.02743,0
