,loc_blank,branch_count,call_pairs,loc_code_and_comment,loc_comments,condition_count,cyclomatic_complexity,cyclomatic_density,decision_count,decision_density,design_complexity,design_density,edge_count,essential_complexity,essential_density,loc_executable,parameter_count,halstead_content,halstead_difficulty,halstead_effort,halstead_error_est,halstead_length,halstead_level,halstead_prog_time,halstead_volume,maintenance_severity,modified_condition_count,multiple_condition_count,node_count,normalized_cylomatic_complexity,num_operands,num_operators,num_unique_operands,num_unique_operators,number_of_lines,percent_comments,loc_total,y
392,0,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0.0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0,0,2,1.0,0,1,0,1,1,0.0,0,0
1166,0,5,0,0,0,8,3,0.5,4,2.0,1,0.33,9,1,0.0,6,2,18.88,9.0,1529.25,0.06,40,0.11,84.96,169.92,0.33,2,4,8,0.43,20,20,10,9,7,0.0,6,0
1167,0,1,0,0,0,0,1,0.25,0,0.0,1,1.0,1,1,0.0,4,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,2,0.2,2,3,2,3,5,0.0,4,0
1157,0,1,4,0,0,0,1,0.17,0,0.0,1,1.0,5,1,0.0,6,1,37.0,2.0,148.02,0.02,20,0.5,8.22,74.01,1.0,0,0,6,0.14,9,11,9,4,7,0.0,6,0
170,0,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0.0,0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,2,1.0,0,2,0,2,1,0.0,0,0
1080,0,1,0,0,1,0,1,0.5,0,0.0,1,1.0,1,1,0.0,2,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0,0,2,0.25,0,1,0,1,4,33.33,2,0
159,0,1,0,0,0,0,1,0.33,0,0.0,1,1.0,1,1,0.0,3,0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,2,0.25,2,3,2,3,4,0.0,3,0
1177,0,3,1,0,0,4,2,0.22,2,2.0,1,0.5,6,1,0.0,9,1,15.92,7.07,796.16,0.04,27,0.14,44.23,112.59,0.5,1,2,6,0.2,9,18,7,11,10,0.0,9,0
1178,0,5,0,0,0,6,3,0.6,2,3.0,1,0.33,7,3,1.0,5,1,13.11,4.8,301.96,0.02,17,0.21,16.78,62.91,1.0,2,3,6,0.5,6,11,5,8,6,0.0,5,0
646,0,1,1,0,0,0,1,0.25,0,0.0,1,1.0,2,1,0.0,4,1,13.45,3.6,174.36,0.02,14,0.28,9.69,48.43,1.0,0,0,3,0.2,6,8,5,6,5,0.0,4,0
1149,0,3,0,0,0,4,2,1.0,2,2.0,1,0.5,6,1,0.0,0,1,9.51,4.0,152.16,0.01,12,0.25,8.45,38.04,0.5,1,2,6,2.0,4,8,3,6,1,0.0,0,0
289,0,1,1,0,0,0,1,0.13,0,0.0,1,1.0,6,1,0.0,8,1,48.53,4.46,967.16,0.07,51,0.22,53.73,216.64,1.0,0,0,7,0.11,25,26,14,5,9,0.0,8,0
1146,0,3,0,0,0,4,2,0.5,2,2.0,1,0.5,6,1,0.0,4,1,7.91,6.13,296.65,0.02,14,0.16,16.48,48.43,0.5,1,2,6,0.4,7,7,4,7,5,0.0,4,0
680,0,3,0,0,0,4,2,0.67,2,2.0,1,0.5,6,1,0.0,3,2,5.0,6.0,180.0,0.01,10,0.17,10.0,30.0,0.5,1,2,6,0.5,4,6,2,6,4,0.0,3,0
192,0,1,3,0,0,0,1,0.17,0,0.0,1,1.0,4,1,0.0,6,1,24.61,3.33,273.48,0.03,21,0.3,15.19,82.04,1.0,0,0,5,0.14,10,11,9,6,7,0.0,6,0
1111,0,1,0,0,0,0,1,0.08,0,0.0,1,1.0,1,1,0.0,13,2,53.74,6.77,2462.54,0.12,89,0.15,136.81,363.78,1.0,0,0,2,0.07,44,45,13,4,14,0.0,13,0
658,0,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0.0,0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,2,1.0,0,2,0,2,1,0.0,0,0
670,0,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0.0,0,2,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1.0,0,0,2,1.0,1,5,1,5,1,0.0,0,0
671,0,9,0,0,0,16,5,0.45,8,2.0,1,0.2,17,3,0.5,11,2,16.86,17.14,4949.88,0.1,63,0.06,274.99,288.85,0.6,4,8,14,0.42,29,34,11,13,12,0.0,11,0
1087,0,1,0,0,0,0,1,0.33,0,0.0,1,1.0,1,1,0.0,3,1,9.06,3.5,110.95,0.01,10,0.29,6.16,31.7,1.0,0,0,2,0.25,2,8,2,7,4,0.0,3,0
1122,0,1,1,1,1,0,1,0.33,0,0.0,1,1.0,2,1,0.0,2,0,9.83,2.0,39.3,0.01,7,0.5,2.18,19.65,1.0,0,0,3,0.2,3,4,3,4,5,50.0,3,0
1090,0,1,0,0,0,0,1,0.25,0,0.0,1,1.0,1,1,0.0,4,1,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,1.0,0,0,2,0.2,2,5,2,5,5,0.0,4,0
673,0,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0.0,0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,2,1.0,0,2,0,2,1,0.0,0,0
1144,0,3,0,0,0,6,2,0.67,2,3.0,1,0.5,5,1,0.0,3,0,10.28,4.38,196.76,0.01,13,0.23,10.93,44.97,0.5,2,3,5,0.5,5,8,4,7,4,0.0,3,0
288,0,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0.0,0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,2,1.0,0,2,0,2,1,0.0,0,0
904,0,1,1,0,0,0,1,0.14,0,0.0,1,1.0,2,1,0.0,7,1,17.41,3.5,213.21,0.02,16,0.29,11.85,60.92,1.0,0,0,3,0.13,7,9,7,7,8,0.0,7,0
375,0,1,0,0,0,0,1,0.2,0,0.0,1,1.0,1,1,0.0,5,1,13.0,3.0,117.0,0.01,13,0.33,6.5,39.0,1.0,0,0,2,0.17,6,7,4,4,6,0.0,5,0
287,0,1,1,0,0,0,1,0.17,0,0.0,1,1.0,2,1,0.0,6,0,14.8,3.5,181.32,0.02,14,0.29,10.07,51.81,1.0,0,0,3,0.14,6,8,6,7,7,0.0,6,0
1027,0,3,0,0,0,4,2,1.0,2,2.0,1,0.5,6,1,0.0,0,2,13.29,3.0,119.59,0.01,12,0.33,6.64,39.86,0.5,1,2,6,2.0,4,8,4,6,1,0.0,0,0
907,0,3,0,0,0,4,2,0.4,2,2.0,1,0.5,5,1,0.0,5,3,10.75,4.0,172.08,0.01,12,0.25,9.56,43.02,0.5,1,2,5,0.33,4,8,4,8,6,0.0,5,0
1026,0,3,0,0,0,4,2,0.5,2,2.0,1,0.5,5,1,0.0,4,1,11.82,8.8,915.2,0.03,26,0.11,50.84,104.0,0.5,1,2,5,0.4,8,18,5,11,5,0.0,4,0
1060,0,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0.0,0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,2,1.0,0,2,0,2,1,0.0,0,0
283,0,1,1,0,0,0,1,0.17,0,0.0,1,1.0,2,1,0.0,6,1,8.22,9.0,666.08,0.02,20,0.11,37.0,74.01,1.0,0,0,3,0.14,8,12,4,9,7,0.0,6,0
1022,0,1,1,0,0,0,1,0.33,0,0.0,1,1.0,2,1,0.0,3,0,9.83,2.0,39.3,0.01,7,0.5,2.18,19.65,1.0,0,0,3,0.25,3,4,3,4,4,0.0,3,0
720,0,3,0,0,0,4,2,0.33,2,2.0,1,0.5,6,1,0.0,6,2,6.5,6.0,234.0,0.01,13,0.17,13.0,39.0,0.5,1,2,6,0.29,4,9,2,6,7,0.0,6,0
366,0,3,0,0,0,4,2,0.4,2,2.0,1,0.5,5,1,0.0,5,1,7.24,16.88,2060.67,0.04,33,0.06,114.48,122.11,0.5,1,2,5,0.33,15,18,4,9,6,0.0,5,0
959,0,11,1,0,0,8,8,0.47,4,2.0,1,0.13,22,1,0.0,17,2,16.16,19.2,5956.4,0.1,66,0.05,330.91,310.23,0.13,2,4,16,0.44,24,42,10,16,18,0.0,17,0
846,0,1,0,0,0,0,1,0.13,0,0.0,1,1.0,1,1,0.0,8,3,15.88,7.0,777.94,0.04,31,0.14,43.22,111.13,1.0,0,0,2,0.11,10,21,5,7,9,0.0,8,0
232,0,13,0,0,0,18,7,1.0,6,3.0,1,0.14,19,7,1.0,7,1,23.57,7.11,1191.72,0.06,41,0.14,66.21,167.59,1.0,6,9,14,0.88,16,25,9,8,8,0.0,7,0
1055,0,3,0,0,0,4,2,0.18,2,2.0,1,0.5,6,1,0.0,11,2,15.7,10.63,1772.22,0.06,40,0.09,98.46,166.8,0.5,1,2,6,0.17,17,23,8,10,12,0.0,11,0
981,0,1,0,0,0,0,1,0.2,0,0.0,1,1.0,1,1,0.0,5,3,29.78,3.25,314.58,0.03,27,0.31,17.48,96.79,1.0,0,0,2,0.17,13,14,8,4,6,0.0,5,0
714,0,1,3,0,0,0,1,0.14,0,0.0,1,1.0,4,1,0.0,7,1,17.72,3.0,159.45,0.02,16,0.33,8.86,53.15,1.0,0,0,5,0.13,6,10,5,5,8,0.0,7,0
985,0,1,1,0,0,0,1,0.14,0,0.0,1,1.0,2,1,0.0,7,1,17.41,3.5,213.21,0.02,16,0.29,11.85,60.92,1.0,0,0,3,0.13,7,9,7,7,8,0.0,7,0
1049,0,3,0,0,1,4,2,0.29,2,2.0,1,0.5,6,1,0.0,7,5,16.82,8.33,1168.18,0.05,33,0.12,64.9,140.18,0.5,1,2,6,0.22,15,18,9,10,9,12.5,7,0
987,0,3,0,0,0,4,2,0.4,2,2.0,1,0.5,5,1,0.0,5,2,16.21,4.2,286.08,0.02,19,0.24,15.89,68.11,0.5,1,2,5,0.33,6,13,5,7,6,0.0,5,0
1014,0,1,0,0,0,0,1,0.25,0,0.0,1,1.0,1,1,0.0,4,2,12.85,5.33,365.51,0.02,18,0.19,20.31,68.53,1.0,0,0,2,0.2,8,10,6,8,5,0.0,4,0
704,0,1,0,0,0,0,1,0.33,0,0.0,1,1.0,1,1,0.0,3,1,12.18,3.0,109.62,0.01,11,0.33,6.09,36.54,1.0,0,0,2,0.25,4,7,4,6,4,0.0,3,0
217,0,1,0,0,0,0,1,0.33,0,0.0,1,1.0,1,1,0.0,3,1,9.83,2.0,39.3,0.01,7,0.5,2.18,19.65,1.0,0,0,2,0.25,3,4,3,4,4,0.0,3,0
