,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,y
182,3.966,2.9244,0,0,2,0,0,30.8,2,0,2,0.0,3.545,3.146,9.522,0,0.964,1.145,0,0,0,1.194,0,0,0,0,1.97,0.0,0,0.0,6.909,0,0,2,1,3.005,1.618,1,7.749,0,0,0
183,3.986,2.958,0,0,0,0,0,32.1,2,1,0,0.0,4.008,3.792,10.039,1,0.965,1.141,0,0,0,1.198,0,0,0,0,1.987,0.0,0,0.0,10.955,0,0,0,1,3.01,1.685,0,8.228,0,0,0
739,3.98,2.974,2,0,0,0,0,31.3,2,0,0,0.0,3.955,3.459,9.814,0,0.964,1.134,0,0,0,1.254,0,0,0,0,1.981,0.0,0,0.0,8.931,0,0,0,0,4.047,1.576,0,8.864,0,0,1
505,3.978,2.9644,0,0,1,0,0,32.8,1,1,1,0.0,3.799,3.44,9.762,1,0.971,1.141,0,0,0,1.207,0,0,0,0,1.98,0.0,0,9.874,8.527,0,0,1,0,3.359,1.905,1,8.252,0,0,1
848,3.975,2.9106,0,0,1,0,0,33.3,1,0,1,0.0,3.74,3.322,9.707,0,0.965,1.14,0,0,0,1.228,0,0,0,0,1.978,0.0,0,0.0,8.122,0,0,1,0,3.24,1.8,1,8.146,0,0,0
96,3.975,2.8897,0,0,0,0,0,32.3,2,0,0,0.0,3.699,3.322,9.707,0,0.961,1.141,0,0,0,1.209,0,0,0,0,1.978,0.0,0,0.0,8.122,0,0,0,0,2.994,1.55,0,7.896,0,0,0
547,3.973,2.8789,1,0,0,0,0,31.6,2,0,0,0.0,3.744,3.301,9.649,0,0.963,1.137,0,0,0,1.238,0,0,0,0,1.975,0.0,0,0.0,7.718,0,0,0,0,3.349,1.617,0,8.202,0,0,1
107,3.973,3.0163,0,0,0,0,0,32.7,2,1,0,0.0,3.68,3.301,9.649,1,0.968,1.14,0,0,0,1.202,0,0,0,0,1.975,0.0,0,0.0,7.718,0,0,0,1,3.129,1.816,0,7.984,0,0,0
16,3.966,2.852,1,0,0,0,0,32.0,2,0,0,0.0,4.075,3.146,9.522,0,0.965,1.138,0,0,0,1.243,0,1,0,0,1.97,0.0,1,0.0,6.909,0,0,0,0,6.866,1.603,0,11.578,0,1,0
865,3.966,2.856,0,0,0,0,0,31.4,2,1,0,0.0,3.553,3.146,9.522,1,0.968,1.143,0,0,0,1.187,0,0,0,0,1.97,0.0,0,0.0,6.909,0,0,0,1,2.988,1.794,0,7.753,0,0,0
